disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
11,"acute bronchitis
","Bronchitis is an inflammation of the airways leading into your lungs. When your airways (trachea and bronchi) get irritated, they swell up and fill with mucus, causing you to cough. Your cough can last days to a couple of weeks. It’s the main symptom of bronchitis. Viruses are the most common cause of acute bronchitis. Smoke and other irritants can cause acute and chronic bronchitis.",Respiratory / Pulmonology,"nasal congestion, fever, coryza, cough, headache",mild,Usually needs treatment but not emergency,"How is bronchitis diagnosed? Your healthcare provider can tell if you have bronchitis based on your health history and symptoms (clinical diagnosis). They’ll listen to your lungs for signs of congestion and to make sure you’re breathing well. They might test you for viral infections, like the flu or COVID-19. What tests will be done to diagnose this condition? There aren’t any specific tests to diagnose bronchitis, but you might be tested for other conditions. Possible tests include: Nasal swab . Your healthcare provider may use a soft-tipped stick (swab) in your nose to test for viruses, like COVID-19 or the flu. Chest X-ray . If your cough lasts for a long time, you may get a chest X-ray to rule out more serious conditions. Your healthcare provider will use a machine to get pictures of your heart and lungs. They’ll look for signs of other diseases that could cause your symptoms. Blood tests. Your provider may do blood tests, using a needle in your arm, to look for infections or check your overall health. Sputum test. Your provider may have you cough and then spit into a tube. Your sample will be tested for signs of a virus or bacteria. Pulmonary function tests . If your provider thinks you have chronic bronchitis, they may use a machine to test how well your lungs work. ","0.522, 0.520, 0.518, 0.516, 0.516",https://my.clevelandclinic.org/health/diseases/3993-bronchitis
12,acute bronchospasm,"A bronchospasm (pronounced “BRONG-kuh-spaz-uhm”) is when the muscles that line your bronchi tighten. Your bronchi are the tubes that air travels through to get to your lungs. They connect your windpipe (trachea) to your lungs. If the muscles in your bronchi tighten or squeeze, your airways narrow. This limits how much oxygen your body receives. Acute conditions are severe and sudden in onset.",Respiratory / Pulmonology,"vomiting, cough, sore throat, difficulty breathing, wheezing",high,Needs urgent evaluation/treatment,"How doctors diagnose bronchospasm A healthcare provider can diagnose bronchospasm. They’ll review your medical history, ask about your symptoms and perform a physical exam. During the exam, they may listen to your lungs with a stethoscope. If they think you’re having bronchospasms, they may refer you to a pulmonologist or allergist. What does it sound like? Healthcare providers listen to your lungs with a stethoscope. Stethoscopes pick up very quiet sounds. When they use one, they listen for high-pitched whistling sounds. Tests that are used Your healthcare provider may recommend pulmonary (lung) function tests to see how well your lungs work. These may include: Spirometry : You use a spirometer that measures the force of air as you breathe in and out. Lung diffusion capacity : You breathe into a tube to determine how well oxygen transfers or diffuses between your lungs and blood. Lung volume assessment : This tells your provider how much air your lungs can hold. Pulse oximetry : Your provider places a device on your finger or ear to measure how much oxygen is in your blood. Depending on your history, your provider may also recommend: Methacholine challenge or provocation tests : These test for the presence of asthma. They measure how your lungs respond to methacholine. Methacholine is a medication that can induce bronchospasm. Imaging tests : Chest X-rays and CT scans can help your provider see infections or other lung problems. Arterial blood gas : This test measures the amount of oxygen and carbon dioxide in your blood. It also measures the levels of acids and bases (alkaline) in your blood (pH level). Eucapnic voluntary hyperventilation : This test checks for exercise-induced bronchospasm. You breathe in a mixture of oxygen and carbon dioxide. The mixture mimics breathing during exercise. You likely have exercise-induced bronchospasm if the mixture negatively affects your lungs.","0.687, 0.534, 0.524, 0.520, 0.518",https://my.clevelandclinic.org/health/diseases/22620-bronchospasm
13,acute fatty liver of pregnancy,"Acute fatty liver of pregnancy (AFLP) is a rare, but serious, condition that can cause liver failure, as well as other life-threatening complications. It happens when too much fat builds up in your liver when you’re pregnant. It’s a medical emergency and involves delivering the fetus as soon as possible. Acute conditions are severe and sudden in onset.",Gastroenterology / Hepatology,"emotional symptoms, sharp abdominal pain",high,Can rapidly destabilize organ function,"How is acute fatty liver of pregnancy diagnosed? Early diagnosis and quick treatment is essential as AFLP can lead to organ failure. The most accurate diagnostic tool is a liver biopsy , which involves your healthcare provider examining your liver tissue under a microscope. However, this isn’t always safe in pregnancy. Often, your pregnancy care provider can diagnose AFLP based on your symptoms and health history. Your provider will order blood tests to look for AFLP. Results of your liver function blood test may raise a red flag and lead your provider to suspect AFLP. These tests often show signs of: Higher levels of liver enzymes ( elevated liver enzymes ). Problems with how your blood clots . Increases of ammonia , uric acid and protein in your blood. Low blood sugar values. Evidence of kidney damage. To make a diagnosis, your provider may also order an ultrasound or computed tomography (CT scan) to get a detailed view of your liver.","1.0, 0.888",https://my.clevelandclinic.org/health/diseases/24857-acute-fatty-liver-of-pregnancy
14,acute glaucoma,"Glaucoma is an umbrella term for eye diseases that make pressure build up inside your eyeball, which can damage delicate, critical parts at the back of your eye . Most of these diseases are progressive, which means they gradually get worse. As they do, they can eventually cause permanent vision loss and blindness. In fact, glaucoma is the second-leading cause of blindness worldwide. Acute conditions are severe and sudden in onset.",Ophthalmology,"double vision, foreign body sensation in eye, diminished vision, pain in eye, symptoms of eye",high,Needs urgent evaluation/treatment,"How is glaucoma diagnosed? An eye care specialist can diagnose glaucoma using an eye exam , including several tests that are part of routine eye exams. In fact, eye exams can detect glaucoma long before you have eye damage and the symptoms that follow. Many of these tests involve pupil dilation (mydriasis) , so your provider can get a better look inside your eye. Some of the most helpful glaucoma tests include: Visual acuity testing Visual field testing Depth perception testing Tonometry Pachymetry Slit lamp exam Gonioscopy If your eye care specialist has a reason to suspect damage to your retina and/or optic nerve, they may also use additional types of eye imaging. These include: Optical coherence tomography Fluorescein angiography Ultrasound Less commonly, computed tomography (CT) or magnetic resonance imaging (MRI) ","0.728, 0.695, 0.571, 0.566, 0.538",https://my.clevelandclinic.org/health/diseases/4212-glaucoma
15,acute kidney injury,Acute kidney injury (AKI) is where your kidneys suddenly stop working properly. It can range from minor loss of kidney function to complete kidney failure. Acute conditions are severe and sudden in onset.,Nephrology,"retention of urine, weakness, vomiting, nausea, kidney mass",high,Can rapidly destabilize organ function,"Diagnosing acute kidney injury
A doctor may suspect AKI if you: are in an ""at risk"" group and suddenly fall ill, get symptoms of AKI
AKI is usually diagnosed with a blood test to measure your levels of creatinine, a chemical waste product produced by the muscles.
If there's a lot of creatinine in your blood, it means your kidneys are not working as well as they should.
You may also be asked to give a pee sample.","0.682, 0.540, 0.533, 0.515, 0.504",https://www.nhs.uk/search/click?url=%2Fconditions%2Facute-kidney-injury%2F&pos=1&hash=WmKSCdDSSJucBNx3GEoeZoQhxB%2BIr6iH08mjrF%2BrQAs%3D&id=67f0e10e-15a6-4579-ab64-28fcbc1e96ad&searchText=acute%20kidney%20injury&documentId=c251763e-1e86-4fa4-8fc0-de423114a510&pageIndex=0
16,acute otitis media,"An ear infection, also called acute otitis media, is a sudden infection in your middle ear. The middle ear is the air-filled space between your eardrum and inner ear. It houses the delicate bones that transmit sound vibrations from your eardrum to your inner ear so you can hear. Acute conditions are severe and sudden in onset.",ENT / Otolaryngology,"diminished hearing, coryza, plugged feeling in ear, fever, redness in ear",mild,Usually needs treatment but not emergency,"How is an ear infection diagnosed?
Most healthcare providers can tell if your child has an ear infection based on their symptoms, a physical exam to check for signs of a cold and an ear exam. For the ear exam, your child’s healthcare provider will view your child’s eardrum using a lighted instrument called an otoscope. An inflamed, swollen or red eardrum is a sign of an ear infection.
Your child’s provider may use a pneumatic otoscope to check for fluid in your child’s middle ear. A pneumatic otoscope blows a puff of air at the eardrum, which should cause it to move back and forth. It won’t move easily if there’s fluid inside your child’s ear.
Are there additional tests my child may need?
Your child may need other tests, including:
Tympanometry: This test uses air pressure to check for fluid in your child’s middle ear.
Acoustic reflectometry: This test uses sound waves to check for fluid in your child’s middle ear.
Tympanocentesis: This procedure allows your child’s provider to remove fluid from your child’s middle ear and test it for viruses and bacteria. Their provider may recommend tympanocentesis if other treatments haven’t cleared the infection.
Hearing tests: A provider called an audiologist might perform hearing tests to determine if your child has hearing loss. Hearing loss is more common in children with long-lasting or frequent ear infections or fluid in the middle ear that doesn’t drain.","0.661, 0.653, 0.527, 0.516, 0.516",https://my.clevelandclinic.org/health/diseases/8613-ear-infection-otitis-media
17,acute pancreatitis,Acute pancreatitis is a condition where the pancreas becomes inflamed (swollen) over a short period of time. Acute conditions are severe and sudden in onset.,Gastroenterology / Hepatology,"burning abdominal pain, nausea, vomiting, abusing alcohol, hemoptysis",high,Needs urgent evaluation/treatment,"A doctor will ask you about your symptoms, family history and may feel your tummy – it will be very tender if you have acute pancreatitis.
They'll also do a blood test, and sometimes a CT scan, to help confirm the diagnosis.
You may have further tests to help determine the severity of your condition and assess your risk of developing more serious complications. These may include:
a CT scan – where a series of X-rays are taken to build up a more detailed image of your pancreas
an MRI scan – where strong magnetic fields and radio waves are used to produce a detailed image of the inside of your body
an ultrasound scan – where sound waves are used to create a picture of your gallbladder to detect gallstones, and a picture of your pancreas","0.525, 0.515, 0.514, 0.508, 0.508",https://www.nhs.uk/search/click?url=%2Fconditions%2Facute-pancreatitis%2F&pos=1&hash=o0qeJiqMb8auDCqcgf44GUOI5SFl9BD1P4jkVR2Ub7Y%3D&id=d49b1f9c-e64a-4bfd-8606-d147c7fce2d8&searchText=acute%20pancreatitis&documentId=1cb90971-f99d-4b51-9c61-8c68d4c4042d&pageIndex=0
18,acute respiratory distress syndrome,"Acute respiratory distress syndrome (ARDS) is a lung injury that happens when fluids build up in small air sacs (alveoli) in your lungs . ARDS prevents your lungs from filling up with air and causes dangerously low oxygen levels in your blood ( hypoxia ). Healthcare providers typically diagnose a person as having mild, moderate or severe respiratory distress syndrome. They determine that level by comparing the level of oxygen in your blood with the amount of oxygen that needs to be given to achieve a healthy blood oxygen level. Acute conditions are severe and sudden in onset.",Respiratory / Pulmonology,"chills, chest tightness, fever, wheezing, sharp chest pain",high,Needs urgent evaluation/treatment,"What tests are done to diagnose acute respiratory distress syndrome (ARDS)? Healthcare providers diagnose ARDS based on a physical exam and the results of several tests. Since the symptoms of ARDS are similar to chronic lung or heart conditions, your provider may need to rule out other causes. A healthcare provider may order a combination of tests, including: Chest X-ray to measure fluid in your lungs. A blood test to measure oxygen levels in your blood and determine the severity of ARDS. Echocardiogram (ultrasound of your heart) to evaluate heart function. Electrocardiogram (or EKG) to measure your heart’s electrical activity. A fingertip sensor (pulse oximetry) for constant monitoring of oxygen levels. A computed tomography (CT) scan to provide more detailed information about your lungs. Sampling of secretions from your airways to find the cause of an infection. ","0.747, 0.649, 0.523, 0.521, 0.521",https://my.clevelandclinic.org/health/diseases/15283-acute-respiratory-distress-syndrome-ards
19,acute sinusitis,Acute sinusitis is a short-term sinus infection (sinusitis). Acute sinusitis symptoms may last a week to 10 days and often go away without medical treatment. Home care and over-the-counter (OTC) decongestants help ease acute sinusitis symptoms. Acute conditions are severe and sudden in onset.,ENT / Otolaryngology,"sore throat, coryza, sinus congestion, ear pain, frontal headache",mild,Usually needs treatment but not emergency,"How is acute sinusitis diagnosed? Healthcare providers typically diagnose acute sinusitis by discussing your symptoms, including how long you’ve had them and if they’re getting worse. A provider will look at your ears, nose and throat for signs of swelling or drainage.","0.657, 0.538, 0.530, 0.529, 0.523",https://my.clevelandclinic.org/health/diseases/15285-acute-sinusitis
20,acute stress reaction,Acute stress disorder (ASD) is a short-term mental health condition that can occur within the first month after experiencing a traumatic event.,Psychiatry,"abnormal involuntary movements, sharp chest pain, headache, dizziness, depressive or psychotic symptoms",mild,Needs timely evaluation,N/A,"0.670, 0.531, 0.516, 0.513, 0.512",https://my.clevelandclinic.org/health/diseases/24755-acute-stress-disorder
21,adhesive capsulitis of the shoulder,Frozen shoulder is a painful condition in which your shoulder movement becomes limited. Another name for frozen shoulder is adhesive capsulitis.,Musculoskeletal,"muscle pain, arm pain, shoulder stiffness or tightness, neck pain, ache all over",mild,Usually needs treatment but not emergency,"How is frozen shoulder diagnosed?
To diagnose frozen shoulder (adhesive capsulitis), your healthcare provider will discuss your symptoms and review your medical history. They’ll also perform a physical exam of your arms and shoulders. They’ll:
Move your shoulder in all directions to check your range of motion and if there’s pain with movement. This type of exam, in which your provider moves your arm, is called determining your “passive range of motion.” Watch you move your shoulder to see your “active range of motion.”
Compare the two types of motion. People with frozen shoulder have a limited range of both active and passive motion. Your provider will likely order shoulder X-rays to make sure the cause of your symptoms isn’t due to another problem with your shoulder, like arthritis. You usually don’t need advanced imaging tests like magnetic resonance imaging (MRI) and ultrasound to diagnose frozen shoulder. But your provider may request them to look for other problems, like a rotator cuff tear.","0.890, 0.753, 0.589, 0.534, 0.520",https://my.clevelandclinic.org/health/diseases/frozen-shoulder-adhesive-capsulitis
22,adjustment reaction,"An adjustment disorder is a strong emotional or behavioral reaction to stress or trauma. It causes short-term symptoms that may make you react more than you typically would. You may cry easily or feel depressed and hopeless. You might overindulge in risky behaviors, or act recklessly or impulsively. The behaviors and feelings vary from person to person.",Psychiatry,"delusions or hallucinations, insomnia, depression, hostile behaviour, fears and phobias",mild,Needs timely evaluation,N/A,"0.701, 0.687, 0.667, 0.530, 0.514",https://my.clevelandclinic.org/health/diseases/21760-adjustment-disorder
23,adrenal adenoma,"Adrenal adenomas are benign (noncancerous) tumors in your adrenal glands. Your adrenal glands are small, triangular glands located atop both of your kidneys. They secrete hormones that help your body respond to stress. Your adrenal glands also release hormones that regulate your blood sugar, blood pressure and immune system, among other essential functions.",Endocrinology,"shortness of breath, anxiety and nervousness, back weakness, sharp abdominal pain",mild,Needs timely evaluation,"What tests are used to diagnose adrenal adenoma? Your healthcare provider will perform a physical exam and ask you about your symptoms and medical history. They may perform any of the following tests to learn more about your tumor: Blood or urine test : A blood or urine test allows your healthcare provider to check for elevated hormone levels that may be a sign of a functioning tumor. You may need to collect your urine for 24 hours so they can test it for elevated cortisol . Imaging : A CT scan is the most commonly used imaging procedure used to diagnose adrenal adenoma. In some instances, your healthcare provider may order an MRI instead. Imaging helps them determine whether a tumor is malignant or benign. For example, larger tumors (more than 4 centimeters) are more likely to be cancerous than smaller tumors. Biopsy : Your healthcare provider may perform a fine-needle aspiration if other tests don’t provide enough information about whether a tumor is cancer or an adrenal adenoma. During this procedure, they’ll use a thin hollow needle to remove tissue from the tumor. A lab specialist, called a pathologist , examines the tissue underneath a microscope to check for signs of cancer. Advertisement Other tests may include adrenal vein sampling or a metaiodobenzylguanidine (MIBG) scan.","0.914, 0.857, 0.828, 0.571",https://my.clevelandclinic.org/health/diseases/17769-adrenal-adenoma
24,adrenal cancer,"Adrenal cancer occurs when cells in your adrenal glands mutate (change) and grow, forming a tumor . You have two adrenal glands — one on top of each kidney . They make hormones that send signals to many different organs to help keep your body healthy.",Oncology,"dizziness, diminished hearing",high,Potential malignancy needing prompt specialist care,"How is adrenal cancer diagnosed? Your healthcare provider may suspect cancer in your adrenal glands based on your specific symptoms, such as excessive hair growth or unexplained weight changes. But sometimes, providers find adrenal tumors after taking a CT (computed tomography) scan or MRI (magnetic resonance imaging) for other reasons. Advertisement During a visit with your healthcare provider, they’ll: Perform a physical examination . Review your medical history. Ask about your symptoms. See if you have any known risk factors for adrenal cancer. Review your family history of cancer. What tests can help diagnose adrenal cancer? After your exam, your healthcare provider will run additional tests to confirm your diagnosis or rule out other conditions. These tests may include: Blood tests . Urinalysis (urine tests) . Imaging tests. ","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/25236-adrenal-cancer
25,alcohol abuse,"Alcohol misuse is when you drink in a way that's harmful, or when you're dependent on alcohol. To keep health risks from alcohol to a low level, both men and women are advised not to regularly drink more than 14 units a week.",Psychiatry,"vomiting blood, smoking problems, hostile behaviour, depression, low self-esteem",mild,Needs mental health evaluation and support,N/A,"0.678, 0.676, 0.676, 0.529, 0.513",https://www.nhs.uk/conditions/alcohol-misuse/
26,alcohol intoxication,Alcohol poisoning can happen when you drink alcohol quicker than your body can process it. It can make you seriously ill and you may need to go to hospital for treatment.,Psychiatry,"abnormal involuntary movements, anxiety and nervousness, sharp chest pain, problems with movement, depressive or psychotic symptoms",mild,Needs timely evaluation,N/A,"0.709, 0.703, 0.695, 0.692, 0.558",https://www.nhs.uk/conditions/alcohol-poisoning/
27,alcohol withdrawal,Alcohol withdrawal (alcohol withdrawal syndrome) is a range of symptoms that can happen if you stop or significantly reduce alcohol intake after long-term use. It typically affects people with alcohol use disorder (AUD) .,Psychiatry,"dizziness, depressive or psychotic symptoms, vomiting, seizures, antisocial behaviour",high,Needs urgent evaluation/treatment,"How is alcohol withdrawal diagnosed? Healthcare providers make a diagnosis of alcohol withdrawal syndrome based on: A physical exam . Your symptoms. Your alcohol use history. Your medical history. It’s important to be honest about your alcohol use — and any other substance use — so your provider can give you the best care. Your provider may recommend other tests — like blood tests and an EKG (electrocardiogram) — to check your overall health, especially since alcohol use disorder can cause health complications. They may assess you for conditions like: Advertisement Dehydration and electrolyte imbalances . Injuries. Infection. Liver function issues. Heart issues. Gastrointestinal (GI) bleeding .","0.672, 0.646, 0.533, 0.529, 0.518",https://my.clevelandclinic.org/health/diseases/alcohol-withdrawal
28,alcoholic liver disease,Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.,Gastroenterology / Hepatology,"abnormal involuntary movements, weight gain, stomach bloating, diarrhea, sharp abdominal pain",mild,Needs timely evaluation,"Blood tests used to assess the liver are known as liver function tests. But liver function tests can be normal at many stages of liver disease. Blood tests can also detect if you have low levels of certain substances, such as a protein called serum albumin, which is made by the liver. A low level of serum albumin suggests your liver is not functioning properly. A blood test may also look for signs of abnormal blood clotting, which can indicate significant liver damage.
Further testing. If your symptoms or liver function test suggest an advanced form of ARLD (either alcoholic hepatitis or cirrhosis), you may need further tests. Imaging tests scans may be needed to produce detailed images of your liver. This may include: an ultrasound scan, a CT scan, an MRI scan. Some scans may also measure the stiffness of the liver, which is a good indication of whether your liver is scarred.
Liver biopsy. During a liver biopsy, a fine needle is inserted into your body (usually between your ribs). A small sample of liver cells is taken and sent to a laboratory to be examined under a microscope. The biopsy is usually carried out under local anaesthetic, either as a day case or with an overnight stay in hospital. Your liver tissue will be examined to determine the degree of scarring in the liver and the cause of the damage.
Endoscopy. An endoscope is a long, thin, flexible tube with a light and a video camera at one end. During an endoscopy, the instrument is passed down your oesophagus (the long tube that carries food from the throat to the stomach) and into your stomach. Pictures of your oesophagus and stomach are transmitted to an external screen. The doctor will be looking for swollen veins (varices), which are a sign of cirrhosis.","0.784, 0.678, 0.666, 0.650, 0.536",https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/
29,allergy,"An allergy is where your body reacts to something that's normally harmless like food, pollen, dust, insect bites or animals. The symptoms can be mild, but for some people they can be very serious.",Immunology,"fluid retention, allergic reaction, peripheral edema, skin swelling, itching of skin",low,Usually managed with routine outpatient care,"A GP may arrange some allergy tests or refer you to a specialist allergy clinic to have them.
Tests you may have include:
a skin prick test – where a small amount of the allergen is put on your skin to see if it reacts
blood tests
a special diet where you are gradually given increasing amounts of a food you might be allergic to, to see if you react","0.672, 0.524, 0.521, 0.516, 0.512",https://www.nhs.uk/conditions/allergies/
30,allergy to animals,"Pet allergies are certain proteins (allergens) on your pet that cause your allergic immune system to overreact. Usually, these proteins are harmless. But if you have pet allergies, your allergic immune system views them as harmful “invaders” that it must get rid of, like bacteria or viruses.",Immunology,"sore throat, cough, cross-eyed, nasal congestion, allergic reaction",low,Usually managed with routine outpatient care,"Blood tests, Skin prick test","0.974, 0.794, 0.769, 0.666, 0.666",https://my.clevelandclinic.org/health/diseases/17702-pet-allergies
31,alopecia,"Alopecia areata is an autoimmune disease that causes patchy hair loss anywhere on your body, but it most commonly affects the hair on the skin that covers your head (scalp). “Alopecia” is a medical term for hair loss or baldness, and “areata” means that it occurs in small, random areas.",Dermatology,"itching of skin, skin swelling, acne or pimples, irregular appearing scalp, skin rash",low,Usually managed with routine outpatient care,"Blood tests, Skin biopsy","0.723, 0.720, 0.688, 0.526, 0.526",https://my.clevelandclinic.org/health/diseases/12423-alopecia-areata
